Subject,Start Date,Start Time,End Time,Description,Location
數學,03/10/2025,08:00 AM,08:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TC21.HTML"" target=""_blank"">陳榮吉-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#陳榮吉老師"" target=""_blank"">陳榮吉</a>
",701台南市東區民族路一段1號
地理,03/11/2025,08:00 AM,08:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TE06.HTML"" target=""_blank"">謝承霖-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#謝承霖老師"" target=""_blank"">謝承霖</a>
",701台南市東區民族路一段1號
英語文,03/12/2025,08:00 AM,08:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TB17.HTML"" target=""_blank"">林湘昀-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#林湘昀老師"" target=""_blank"">林湘昀</a>
",701台南市東區民族路一段1號
團體活動時間,03/13/2025,08:00 AM,08:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TH13.HTML"" target=""_blank"">蔡佳怡-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#蔡佳怡老師"" target=""_blank"">蔡佳怡</a>
",701台南市東區民族路一段1號
國語文,03/14/2025,08:00 AM,08:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TA21.HTML"" target=""_blank"">梁佳雯-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#梁佳雯老師"" target=""_blank"">梁佳雯</a>
",701台南市東區民族路一段1號
公民與社會,03/10/2025,09:00 AM,09:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TF06.HTML"" target=""_blank"">廖翠雰-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#廖翠雰老師"" target=""_blank"">廖翠雰</a>
",701台南市東區民族路一段1號
全民國防教育,03/11/2025,09:00 AM,09:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TL26.HTML"" target=""_blank"">王柏中-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#王柏中老師"" target=""_blank"">王柏中</a>
",701台南市東區民族路一段1號
"專題研究


陳榮吉


羅焜哲


蔡佳怡",03/12/2025,09:00 AM,09:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TI06.HTML"" target=""_blank"">林弘都


施怡如-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#林弘都


施怡如老師"" target=""_blank"">林弘都


施怡如</a>
",701台南市東區民族路一段1號
體育,03/13/2025,09:00 AM,09:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TK03.HTML"" target=""_blank"">蔡閎璿-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#蔡閎璿老師"" target=""_blank"">蔡閎璿</a>
",701台南市東區民族路一段1號
國語文,03/14/2025,09:00 AM,09:50 AM,"Teacher: <a href=""http://w3.tnfsh.tn.edu.tw/deanofstudies/course/TA21.HTML"" target=""_blank"">梁佳雯-課表</a>
竹園wiki: <a href=""https://tnfsh.fandom.com/wiki/台南一中老師/英文科#梁佳雯老師"" target=""_blank"">梁佳雯</a>
",701台南市東區民族路一段1號
