Subject,Start Date,Start Time,End Time,Description,Location,Repeat
體育,03/10/2025,08:00 AM,08:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
領域課程：科技應用專題,03/11/2025,08:00 AM,08:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
藝術生活,03/12/2025,08:00 AM,08:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
團體活動時間,03/13/2025,08:00 AM,08:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修物理-電磁現象二與量子現象,03/14/2025,08:00 AM,08:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
數學甲,03/10/2025,09:00 AM,09:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
領域課程：科技應用專題,03/11/2025,09:00 AM,09:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
藝術生活,03/12/2025,09:00 AM,09:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
團體活動時間,03/13/2025,09:00 AM,09:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
選修物理-電磁現象二與量子現象,03/14/2025,09:00 AM,09:50 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
語文表達與傳播應用,03/10/2025,10:10 AM,11:00 AM,,701台南市東區民族路一段1號,"FREQ=WEEKLY;COUNT=52;BYDAY=MO,TU,WE,TH,FR;WKST=MO"
